Utility,Pollution,Inertia,Reliability,both,group,rank
0.535,0.616,0.0,0.618,0.334,0.0,78
0.562,0.531,0.0,0.611,0.348,0.0,63
0.536,0.611,0.0,0.616,0.333,0.0,73
0.553,0.511,0.0,0.612,0.344,0.0,65
0.553,0.606,0.0,0.615,0.345,0.0,69
0.606,0.231,0.0,0.338,0.201,0.0,20
0.605,0.221,0.0,0.329,0.197,0.0,18
0.467,0.617,0.0,0.622,0.294,0.0,79
0.317,0.631,0.0,0.634,0.203,0.0,85
0.403,0.624,0.0,0.628,0.252,0.0,82
0.365,0.627,0.0,0.629,0.23,0.0,84
0.344,0.626,0.0,0.628,0.217,0.0,83
0.539,0.506,0.0,0.614,0.335,0.0,67
0.511,0.614,1.0,0.617,0.315,0.0,74
0.539,0.614,0.0,0.618,0.336,0.0,77
0.478,0.621,0.0,0.623,0.303,0.0,80
0.588,0.314,0.0,0.513,0.313,0.0,39
0.58,0.481,0.0,0.61,0.361,0.0,61
0.583,0.609,0.0,0.617,0.367,0.0,76
0.613,0.338,0.0,0.541,0.342,0.0,46
0.617,0.276,0.0,0.441,0.275,0.0,35
0.562,0.611,0.0,0.617,0.351,0.0,75
0.609,0.311,0.0,0.522,0.325,0.0,42
0.419,0.623,0.0,0.625,0.264,0.0,81
0.619,0.421,0.0,0.605,0.377,0.0,56
0.629,0.248,0.0,0.379,0.233,0.0,29
0.617,0.33,0.0,0.533,0.338,0.0,45
0.62,0.34,0.0,0.541,0.341,0.0,47
0.616,0.406,0.0,0.606,0.377,0.0,58
0.62,0.417,0.0,0.607,0.378,0.0,59
0.583,0.587,0.0,0.615,0.366,0.0,71
0.606,0.398,0.0,0.603,0.369,0.0,55
0.612,0.321,0.0,0.529,0.332,0.0,44
0.593,0.58,0.0,0.614,0.37,0.0,68
0.608,0.314,0.0,0.524,0.325,0.0,43
0.594,0.481,0.0,0.612,0.37,0.0,64
0.601,0.313,0.0,0.521,0.321,0.0,41
0.608,0.403,0.0,0.605,0.371,0.0,57
0.601,0.491,0.0,0.61,0.371,0.0,62
0.601,0.388,0.0,0.599,0.366,0.0,54
0.596,0.481,0.0,0.612,0.37,0.0,66
0.599,0.311,0.0,0.519,0.318,0.0,40
0.6,0.245,0.0,0.29,0.175,0.0,10
0.598,0.198,0.0,0.24,0.143,0.0,0
0.607,0.248,0.0,0.297,0.179,0.0,11
0.588,0.236,0.0,0.283,0.169,0.0,6
0.585,0.198,0.0,0.245,0.145,0.0,3
0.585,0.198,0.0,0.241,0.143,0.0,1
0.599,0.222,0.0,0.27,0.161,0.0,4
0.583,0.21,0.0,0.244,0.143,0.0,2
0.605,0.195,0.0,0.283,0.171,1.0,5
0.601,0.198,0.0,0.285,0.172,1.0,7
0.587,0.218,0.0,0.324,0.193,1.0,16
0.596,0.199,0.0,0.287,0.172,1.0,9
0.604,0.198,0.0,0.287,0.174,1.0,8
0.596,0.221,0.0,0.327,0.196,1.0,17
0.57,0.294,0.0,0.479,0.281,1.0,38
0.571,0.381,0.0,0.571,0.336,1.0,49
0.571,0.381,0.0,0.573,0.337,1.0,50
0.555,0.35,0.0,0.549,0.313,1.0,48
0.57,0.294,0.0,0.479,0.281,1.0,37
0.563,0.43,0.0,0.61,0.348,1.0,60
0.565,0.285,0.0,0.459,0.266,1.0,36
0.583,0.382,0.0,0.596,0.357,1.0,53
0.579,0.382,0.0,0.593,0.352,1.0,51
0.581,0.393,0.0,0.596,0.356,1.0,52
0.593,0.253,0.0,0.397,0.237,1.0,30
0.611,0.222,0.0,0.314,0.191,1.0,14
0.608,0.239,0.0,0.35,0.21,1.0,26
0.558,0.61,0.0,0.615,0.348,1.0,70
0.615,0.234,0.0,0.319,0.195,1.0,15
0.607,0.24,0.0,0.353,0.211,1.0,27
0.567,0.61,0.0,0.615,0.353,1.0,72
0.604,0.266,0.0,0.429,0.263,1.0,34
0.601,0.219,0.0,0.309,0.186,1.0,13
0.601,0.258,0.0,0.425,0.259,1.0,33
0.605,0.259,0.0,0.424,0.26,1.0,32
0.596,0.257,0.0,0.411,0.246,1.0,31
0.607,0.225,0.0,0.34,0.204,1.0,21
0.602,0.247,0.0,0.356,0.211,1.0,28
0.609,0.226,0.0,0.343,0.207,1.0,22
0.611,0.231,0.0,0.347,0.209,1.0,24
0.576,0.249,0.0,0.344,0.198,1.0,23
0.6,0.239,0.0,0.333,0.198,1.0,19
0.581,0.253,0.0,0.349,0.203,1.0,25
0.6,0.242,0.0,0.304,0.184,1.0,12
