Utility,Pollution,Inertia,Reliability,group,rank
1.0,0.108,0.0,0.11,0.0,2
1.0,0.135,0.0,0.136,0.0,25
0.0,0.743,1.0,0.756,0.0,90
1.0,0.1,0.0,0.1,0.0,0
1.0,0.126,0.0,0.127,0.0,22
1.0,0.108,0.0,0.11,0.0,3
0.0,0.764,1.0,0.777,0.0,97
0.0,0.699,1.0,0.702,0.0,86
1.0,0.124,0.0,0.125,0.0,19
1.0,0.123,0.0,0.123,0.0,18
1.0,0.118,0.0,0.118,0.0,15
0.0,0.765,1.0,0.777,0.0,96
0.0,0.737,1.0,0.746,0.0,89
0.0,0.767,1.0,0.777,0.0,95
1.0,0.127,0.0,0.127,0.0,20
1.0,0.117,0.0,0.118,0.0,14
1.0,0.113,0.0,0.114,0.0,9
1.0,0.109,0.0,0.111,0.0,5
0.0,0.765,1.0,0.777,0.0,94
1.0,0.369,0.0,0.373,0.0,28
0.0,0.701,1.0,0.708,0.0,88
1.0,0.155,0.0,0.155,0.0,26
0.0,0.765,1.0,0.777,0.0,92
1.0,0.115,0.0,0.115,0.0,11
1.0,0.106,0.0,0.108,0.0,1
1.0,0.127,0.0,0.127,0.0,21
1.0,0.129,0.0,0.13,0.0,24
0.0,0.766,1.0,0.777,0.0,91
1.0,0.114,0.0,0.114,0.0,8
0.0,0.69,1.0,0.699,0.0,85
1.0,0.111,0.0,0.111,0.0,4
1.0,0.13,0.0,0.13,0.0,23
0.0,0.766,1.0,0.777,0.0,98
0.0,0.703,1.0,0.708,0.0,87
0.0,0.765,1.0,0.777,0.0,93
1.0,0.114,0.0,0.114,0.0,10
0.459,0.57,0.0,0.573,0.0,70
1.0,0.113,0.0,0.114,0.0,7
0.673,0.528,0.0,0.531,0.0,53
0.0,0.682,1.0,0.69,0.0,84
1.0,0.115,0.0,0.118,0.0,16
0.381,0.603,1.0,0.607,0.0,80
1.0,0.115,0.0,0.117,0.0,12
0.462,0.602,0.0,0.606,0.0,79
1.0,0.119,0.0,0.121,0.0,17
1.0,0.336,0.0,0.344,0.0,27
1.0,0.118,0.0,0.118,0.0,13
1.0,0.395,0.0,0.397,0.0,29
1.0,0.113,0.0,0.113,0.0,6
0.0,0.764,1.0,0.777,0.0,99
1.0,0.52,0.0,0.531,1.0,51
1.0,0.46,0.0,0.515,1.0,30
0.991,0.527,0.0,0.533,1.0,56
1.0,0.48,0.0,0.52,1.0,37
1.0,0.483,0.0,0.519,1.0,32
0.877,0.531,0.0,0.54,1.0,63
0.474,0.591,0.0,0.599,1.0,76
0.977,0.516,0.0,0.52,1.0,36
1.0,0.499,0.0,0.534,1.0,58
0.668,0.535,0.0,0.561,1.0,67
1.0,0.483,0.0,0.519,1.0,31
0.332,0.604,0.0,0.616,1.0,82
0.217,0.634,0.0,0.643,1.0,83
0.696,0.516,0.0,0.527,1.0,44
0.919,0.518,0.0,0.53,1.0,50
0.354,0.59,0.0,0.604,1.0,78
0.963,0.513,0.0,0.531,1.0,52
0.603,0.538,0.0,0.554,1.0,66
0.985,0.52,0.0,0.536,1.0,61
0.928,0.484,0.0,0.527,1.0,46
0.761,0.517,0.0,0.539,1.0,62
0.378,0.576,0.0,0.591,1.0,75
0.561,0.543,0.0,0.59,1.0,74
0.986,0.517,0.0,0.53,1.0,49
0.966,0.524,0.0,0.547,1.0,65
0.286,0.596,0.0,0.616,1.0,81
0.58,0.56,0.0,0.569,1.0,68
1.0,0.53,0.0,0.546,1.0,64
0.837,0.576,0.0,0.585,1.0,73
0.968,0.499,0.0,0.535,1.0,60
1.0,0.514,0.0,0.529,1.0,48
1.0,0.513,0.0,0.532,1.0,55
1.0,0.496,0.0,0.52,1.0,34
1.0,0.497,0.0,0.521,1.0,39
1.0,0.495,0.0,0.52,1.0,33
0.979,0.506,0.0,0.531,1.0,54
1.0,0.496,0.0,0.52,1.0,38
0.262,0.558,0.0,0.573,1.0,71
0.331,0.555,0.0,0.571,1.0,69
0.465,0.573,0.0,0.6,1.0,77
0.947,0.52,0.0,0.529,1.0,47
0.761,0.515,0.0,0.523,1.0,42
0.749,0.522,0.0,0.533,1.0,57
0.885,0.516,0.0,0.525,1.0,43
0.698,0.528,0.0,0.534,1.0,59
0.851,0.509,0.0,0.52,1.0,35
0.756,0.512,0.0,0.521,1.0,40
0.869,0.52,0.0,0.527,1.0,45
0.86,0.512,0.0,0.521,1.0,41
0.3,0.562,0.0,0.578,1.0,72
