Utility,Pollution,Inertia,Reliability,both,rank
1.0,0.108,0.0,0.108,0.108,3
1.0,0.135,0.0,0.132,0.132,25
0.0,0.743,1.0,0.748,0.0,40
1.0,0.1,0.0,0.1,0.1,0
1.0,0.126,0.0,0.124,0.124,22
1.0,0.108,0.0,0.107,0.107,2
0.0,0.764,1.0,0.769,0.0,43
0.0,0.699,1.0,0.701,0.0,36
1.0,0.124,0.0,0.121,0.121,19
1.0,0.123,0.0,0.12,0.12,18
1.0,0.118,0.0,0.117,0.117,14
0.0,0.765,1.0,0.769,0.0,44
0.0,0.737,1.0,0.739,0.0,39
0.0,0.767,1.0,0.769,0.0,46
1.0,0.127,0.0,0.123,0.123,21
1.0,0.117,0.0,0.117,0.117,15
1.0,0.113,0.0,0.112,0.112,6
1.0,0.109,0.0,0.109,0.109,4
0.0,0.765,1.0,0.769,0.0,48
1.0,0.369,0.0,0.369,0.369,28
0.0,0.701,1.0,0.703,0.0,37
1.0,0.155,0.0,0.154,0.154,26
0.0,0.765,1.0,0.769,0.0,45
1.0,0.115,0.0,0.115,0.115,11
1.0,0.106,0.0,0.106,0.106,1
1.0,0.127,0.0,0.122,0.122,20
1.0,0.129,0.0,0.127,0.127,23
0.0,0.766,1.0,0.769,0.0,42
1.0,0.114,0.0,0.114,0.114,10
0.0,0.69,1.0,0.695,0.0,35
1.0,0.111,0.0,0.111,0.111,5
1.0,0.13,0.0,0.128,0.128,24
0.0,0.766,1.0,0.769,0.0,41
0.0,0.703,1.0,0.704,0.0,38
0.0,0.765,1.0,0.769,0.0,47
1.0,0.114,0.0,0.113,0.113,9
0.459,0.57,0.0,0.569,0.272,31
1.0,0.113,0.0,0.112,0.112,8
0.673,0.528,0.0,0.528,0.355,30
0.0,0.682,1.0,0.685,0.0,34
1.0,0.115,0.0,0.115,0.115,13
0.381,0.603,1.0,0.604,0.232,33
1.0,0.115,0.0,0.115,0.115,12
0.462,0.602,0.0,0.602,0.284,32
1.0,0.119,0.0,0.118,0.118,17
1.0,0.336,0.0,0.338,0.338,27
1.0,0.118,0.0,0.117,0.117,16
1.0,0.395,0.0,0.393,0.393,29
1.0,0.113,0.0,0.112,0.112,7
0.0,0.764,1.0,0.769,0.0,49
